timestamp,name,loc,duration,tag,rank
1736345222587.27,batch_02_011_32,none,162.94,finish,0
1736345222750.26,wait_valid_batch,none,0.00,,0
1736345222750.41,batch_02_012_32,none,162.90,finish,0
1736345222913.35,wait_valid_batch,none,0.00,,0
1736345222913.50,batch_02_013_32,none,162.85,finish,0
1736345223076.41,wait_valid_batch,none,0.00,,0
1736345223076.55,batch_02_014_32,none,162.90,finish,0
1736345223239.50,wait_valid_batch,none,0.00,,0
1736345223239.66,batch_02_015_20,none,134.76,finish,0
1736345223344.34,optimizer_step,none,19.29,,0
1736345223374.48,wait_valid_batch,none,0.00,,0
1736345223374.64,batch_02_016_32,none,159.57,finish,0
1736345223374.65,global_batch_02_016_500,none,2578.38,finish,0
1736345223534.26,wait_valid_batch,none,0.00,,0
1736345223534.41,batch_02_017_32,none,162.90,finish,0
1736345223697.36,wait_valid_batch,none,0.00,,0
1736345223697.51,batch_02_018_32,none,162.88,finish,0
1736345223860.43,wait_valid_batch,none,0.00,,0
1736345223860.58,batch_02_019_32,none,162.98,finish,0
1736345224023.60,wait_valid_batch,none,0.00,,0
1736345224023.75,batch_02_020_32,none,162.92,finish,0
1736345224186.72,wait_valid_batch,none,0.00,,0
1736345224186.87,batch_02_021_32,none,162.96,finish,0
1736345224349.88,wait_valid_batch,none,0.00,,0
1736345224350.04,batch_02_022_32,none,162.95,finish,0
1736345224513.03,wait_valid_batch,none,0.00,,0
1736345224513.18,batch_02_023_32,none,162.92,finish,0
1736345224676.16,wait_valid_batch,none,0.00,,0
1736345224676.30,batch_02_024_32,none,162.97,finish,0
1736345224839.32,wait_valid_batch,none,0.00,,0
1736345224839.47,batch_02_025_32,none,162.94,finish,0
1736345225002.46,wait_valid_batch,none,0.00,,0
1736345225002.61,batch_02_026_32,none,162.93,finish,0
1736345225165.59,wait_valid_batch,none,0.00,,0
1736345225165.73,batch_02_027_32,none,163.00,finish,0
1736345225328.78,wait_valid_batch,none,0.00,,0
1736345225328.93,batch_02_028_32,none,162.93,finish,0
1736345225491.91,wait_valid_batch,none,0.01,,0
1736345225492.06,batch_02_029_32,none,162.94,finish,0
1736345225655.05,wait_valid_batch,none,0.00,,0
1736345225655.20,batch_02_030_32,none,162.87,finish,0
1736345225818.12,wait_valid_batch,none,0.00,,0
1736345225818.28,batch_02_031_20,none,134.74,finish,0
1736345225922.78,optimizer_step,none,19.48,,0
1736345225953.12,epoch_03_1000,none,5166.02,,0
1736345225953.19,wait_valid_batch,none,0.00,,0
1736345225953.35,batch_03_000_32,none,159.54,finish,0
1736345225953.36,global_batch_03_000_500,none,2579.11,finish,0
1736345226112.94,wait_valid_batch,none,0.00,,0
1736345226113.10,batch_03_001_32,none,162.89,finish,0
1736345226276.04,wait_valid_batch,none,0.00,,0
1736345226276.19,batch_03_002_32,none,162.92,finish,0
1736345226439.15,wait_valid_batch,none,0.00,,0
1736345226439.30,batch_03_003_32,none,162.95,finish,0
1736345226602.30,wait_valid_batch,none,0.00,,0
1736345226602.44,batch_03_004_32,none,162.91,finish,0
1736345226765.40,wait_valid_batch,none,0.00,,0
1736345226765.55,batch_03_005_32,none,162.98,finish,0
1736345226928.58,wait_valid_batch,none,0.00,,0
1736345226928.73,batch_03_006_32,none,162.93,finish,0
1736345227091.71,wait_valid_batch,none,0.00,,0
1736345227091.85,batch_03_007_32,none,162.92,finish,0
1736345227254.82,wait_valid_batch,none,0.00,,0
1736345227254.98,batch_03_008_32,none,162.99,finish,0
1736345227418.01,wait_valid_batch,none,0.00,,0
1736345227418.16,batch_03_009_32,none,162.94,finish,0
1736345227581.15,wait_valid_batch,none,0.00,,0
1736345227581.30,batch_03_010_32,none,162.98,finish,0
1736345227744.33,wait_valid_batch,none,0.00,,0
1736345227744.48,batch_03_011_32,none,163.01,finish,0
1736345227907.54,wait_valid_batch,none,0.00,,0
1736345227907.69,batch_03_012_32,none,163.00,finish,0
1736345228070.74,wait_valid_batch,none,0.00,,0
1736345228070.89,batch_03_013_32,none,162.89,finish,0
1736345228233.83,wait_valid_batch,none,0.00,,0
1736345228233.98,batch_03_014_32,none,162.97,finish,0
1736345228397.01,wait_valid_batch,none,0.00,,0
1736345228397.18,batch_03_015_20,none,135.27,finish,0
1736345228502.08,optimizer_step,none,19.59,,0
1736345228532.51,wait_valid_batch,none,0.00,,0
1736345228532.69,batch_03_016_32,none,159.59,finish,0
1736345228532.69,global_batch_03_016_500,none,2586.40,finish,0
1736345228692.32,wait_valid_batch,none,0.00,,0
1736345228692.47,batch_03_017_32,none,162.97,finish,0
1736345228855.49,wait_valid_batch,none,0.00,,0
1736345228855.64,batch_03_018_32,none,162.95,finish,0
1736345229018.64,wait_valid_batch,none,0.00,,0
1736345229018.78,batch_03_019_32,none,163.03,finish,0
1736345229181.87,wait_valid_batch,none,0.00,,0
1736345229182.02,batch_03_020_32,none,162.92,finish,0
1736345229344.99,wait_valid_batch,none,0.00,,0
1736345229345.14,batch_03_021_32,none,165.42,finish,0
1736345229510.68,wait_valid_batch,none,0.01,,0
1736345229510.93,batch_03_022_32,none,165.26,finish,0
1736345229676.28,wait_valid_batch,none,0.01,,0
1736345229676.48,batch_03_023_32,none,163.53,finish,0
1736345229840.08,wait_valid_batch,none,0.01,,0
1736345229840.25,batch_03_024_32,none,163.10,finish,0
1736345230003.41,wait_valid_batch,none,0.00,,0
1736345230003.57,batch_03_025_32,none,163.09,finish,0
1736345230166.72,wait_valid_batch,none,0.01,,0
1736345230166.87,batch_03_026_32,none,162.98,finish,0
1736345230329.90,wait_valid_batch,none,0.00,,0
1736345230330.06,batch_03_027_32,none,162.98,finish,0
1736345230493.09,wait_valid_batch,none,0.00,,0
1736345230493.24,batch_03_028_32,none,162.90,finish,0
1736345230656.19,wait_valid_batch,none,0.00,,0
1736345230656.34,batch_03_029_32,none,163.53,finish,0
1736345230819.97,wait_valid_batch,none,0.01,,0
1736345230820.15,batch_03_030_32,none,163.49,finish,0
1736345230983.70,wait_valid_batch,none,0.01,,0
1736345230983.87,batch_03_031_20,none,135.19,finish,0
1736345231088.70,optimizer_step,none,19.72,,0
1736345231119.19,epoch_04_1000,none,5159.61,,0
1736345231119.27,wait_valid_batch,none,0.00,,0
1736345231119.44,batch_04_000_32,none,159.59,finish,0
1736345231119.44,global_batch_04_000_500,none,2580.14,finish,0
1736345231279.07,wait_valid_batch,none,0.00,,0
1736345231279.23,batch_04_001_32,none,162.99,finish,0
1736345231442.26,wait_valid_batch,none,0.00,,0
1736345231442.41,batch_04_002_32,none,163.00,finish,0
1736345231605.52,wait_valid_batch,none,0.01,,0
1736345231605.70,batch_04_003_32,none,163.12,finish,0
1736345231768.86,wait_valid_batch,none,0.00,,0
1736345231769.01,batch_04_004_32,none,162.94,finish,0
1736345231932.00,wait_valid_batch,none,0.00,,0
1736345231932.15,batch_04_005_32,none,162.99,finish,0
